chi_name,wind_name
国城矿业,000688.SZ
科大国创,300520.SZ
国创高新,002377.SZ
国联水产,300094.SZ
国信证券,002736.SZ
国盛金控,002670.SZ
国泰集团,603977.SH
国统股份,002205.SZ
国机通用,600444.SH
紫光国微,002049.SZ
国元证券,000728.SZ
九有股份,600462.SH
光威复材,300699.SZ
长城动漫,000835.SZ
长城电工,600192.SH
国新能源,600617.SH
国轩高科,002074.SZ
白云山,600332.SH
广宇发展,000537.SZ
古越龙山,600059.SH
贵州百灵,002424.SZ
贵广网络,600996.SH
国祯环保,300388.SZ
光正集团,002524.SZ
高争民爆,002827.SZ
珠江实业,600684.SH
红星发展,600367.SH
黔轮胎A,000589.SZ
贵绳股份,600992.SH
粤泰股份,600393.SH
*ST哈空,600202.SH
北大荒,600598.SH
哈尔斯,002615.SZ
杭齿前进,601177.SH
中直股份,600038.SH
海波重科,300517.SZ
海达股份,300320.SZ
海大集团,002311.SZ
青岛海尔,600690.SH
海格通信,002465.SZ
海峡环保,603817.SH
海亮股份,002203.SZ
海利得,002206.SZ
